row_number,name,area,status,geometry
43,สายสีน้ำเงิน,พุทธมณฑลสาย4 - หลักสอง,อนาคต,"LINESTRING (100.3315910000001 13.70470900000009, 100.3327210000002 13.70479799999998, 100.3347240000002 13.70498000000015, 100.336862 13.70516100000003, 100.3390870000001 13.70532600000018, 100.341755 13.7055400000001, 100.3439320000002 13.70573900000005, 100.34559 13.70585500000004, 100.3477610000001 13.70602800000017, 100.3505600000002 13.70625500000011, 100.353486 13.70649000000003, 100.3562330000001 13.70670400000017, 100.3590570000002 13.70694500000019, 100.3615310000001 13.70713100000012, 100.363995 13.7073410000001, 100.3668160000002 13.70754799999997, 100.3691580000001 13.70774000000006, 100.372658 13.70802600000013, 100.3753900000001 13.7082640000001, 100.3773720000002 13.70843700000017, 100.380026 13.70864900000015, 100.3829640000001 13.70890900000018, 100.3852870000001 13.70908299999996, 100.3891830000001 13.70943300000016, 100.3948090000001 13.70986800000009, 100.4005210000001 13.71025500000013, 100.403496 13.7105160000001, 100.4105290267578 13.71103830636446)"
31,สายสีม่วง,บางซื่อ - ราษฏร์บูรณะ,อนาคต,"LINESTRING (100.526079366854 13.64097312060545, 100.5191275335793 13.65833239905851, 100.5160694502944 13.66625917682285, 100.51601046758 13.66639174413802, 100.5159454489023 13.66652145776578, 100.5158745319281 13.66664804305879, 100.5157978668121 13.66677123199372, 100.5157156158804 13.66689076373785, 100.5156279532857 13.6670063852028, 100.515535064639 13.66711785157884, 100.5154371466169 13.66722492685426, 100.5153344065446 13.66732738431472, 100.5152270619575 13.66742500702355, 100.5151153401401 13.66751758828053, 100.5149994776449 13.66760493206021, 100.5148797197915 13.66768685342646, 100.5130310000002 13.66889000000009, 100.510135 13.67071900000008, 100.5036420000001 13.67478500000004, 100.5019600000001 13.67583900000005, 100.499802 13.67717700000009, 100.4974830000002 13.678651, 100.4961600000001 13.67949800000014, 100.494407 13.68067700000012, 100.4931700000002 13.68154000000015, 100.4922940000002 13.68220400000018, 100.4912610000002 13.68289400000009, 100.4861170000001 13.68654900000018, 100.4849910000001 13.68733000000014, 100.4841370000001 13.68790200000001, 100.483425 13.68841700000019, 100.4824610000002 13.68909300000013, 100.4819940000001 13.68945900000006, 100.48177 13.68973000000011, 100.4814510000001 13.6902090000001, 100.481347 13.69045300000005, 100.4812230000001 13.69087500000018, 100.4811830000001 13.69148300000001, 100.4812780000001 13.69207600000004, 100.4815800000001 13.69290100000012, 100.481912 13.69393300000007, 100.4823960000001 13.69531800000004, 100.482582 13.69586600000014, 100.4830060000002 13.69708400000019, 100.4835340000001 13.69861100000003, 100.4840550000001 13.70013000000012, 100.4844740000001 13.70132900000004, 100.484896 13.70254400000005, 100.4852230000001 13.70346699999999, 100.4858930000001 13.70539600000012, 100.4867350000001 13.70792900000009, 100.4872610000001 13.70936400000016, 100.488155 13.71206000000012, 100.488771 13.71383000000003, 100.48954 13.71607400000005, 100.4901230000002 13.71777100000014, 100.4905170000001 13.71890800000006, 100.4909910000002 13.72024500000003, 100.4913740000001 13.72137000000004, 100.4920920000002 13.72346400000009, 100.4936190000002 13.72785300000015, 100.494027 13.72902900000008, 100.4946310000001 13.73075300000011, 100.4950220000001 13.73193500000002, 100.4954450000001 13.73321400000015, 100.4959070000002 13.73453899999998, 100.4963300000002 13.73576600000007, 100.496429 13.73598500000008, 100.4965360000002 13.73620000000011, 100.4967850000002 13.736581, 100.497159 13.73709200000002, 100.4978880000001 13.73802500000011, 100.498874 13.73940400000004, 100.500208 13.74138900000014, 100.501234 13.74295900000016, 100.5018860000001 13.74393800000018, 100.5026390000001 13.74507399999999, 100.5027360000001 13.74535600000007, 100.5034550000001 13.74805500000008, 100.5039700000001 13.75009000000006, 100.5043400000002 13.751577, 100.5048630000001 13.75371200000012, 100.5050310000001 13.75435899999997, 100.5052930000002 13.75548300000008, 100.5050820000001 13.75607800000012, 100.5044640000001 13.75715800000012, 100.503819 13.75835500000005, 100.5034850000001 13.75870700000002, 100.5023420000001 13.75946100000004, 100.500955 13.76039000000003, 100.5000670000001 13.76093800000007, 100.4989670000001 13.76165400000014, 100.4987020000002 13.76184200000006, 100.4985820000002 13.76210500000013, 100.4985500000002 13.7624090000001, 100.4986000000001 13.76267000000018, 100.4987300000001 13.76292600000005, 100.4989830000001 13.76348999999999, 100.4997870000002 13.76477000000006, 100.5009230000001 13.76668700000005, 100.501103 13.76688800000011, 100.5012240000001 13.76701600000007, 100.502419 13.76827600000007, 100.5036680000002 13.76959400000004, 100.504044 13.77001500000006, 100.5048750000002 13.77097600000013, 100.5049860000001 13.77113200000008, 100.5050700000002 13.7713060000001, 100.5061160000002 13.77349200000015, 100.5070120000001 13.77538300000009, 100.5076540000001 13.77675900000008, 100.5084330000001 13.77839599999999, 100.5089180000001 13.77940800000005, 100.5094340000001 13.78052200000008, 100.509777 13.78124200000013, 100.510114 13.78195100000016, 100.5114460000001 13.78480400000012, 100.511739 13.78537400000005, 100.513873 13.78833600000019, 100.5146000000001 13.78936700000003, 100.516228 13.79159800000008, 100.5167900000002 13.79224000000005, 100.5174220000002 13.79293100000007, 100.5187480000002 13.79438399999998, 100.519895 13.79565000000014, 100.521198 13.79709000000008, 100.5213620000001 13.7972640000001, 100.5217820000002 13.79777500000012, 100.522521 13.79878700000017, 100.5228750000001 13.79914100000013, 100.5232320000001 13.79937700000011, 100.523649 13.79957900000016, 100.5276480000001 13.8010920000001, 100.5285410000001 13.80160400000017, 100.5289539999999 13.80197500000014, 100.5292710000001 13.80235100000016, 100.5295400000001 13.80285100000015, 100.529835 13.80356, 100.530041 13.80408400000005, 100.5302020000002 13.80451299999999, 100.5304140000001 13.80513500000012, 100.5306620000001 13.80598200000003, 100.5307520000001 13.80631200000016, 100.530786 13.80647800000003)"
14,สายสีแดงอ่อน,บางซื่อ - ตลิ่งชัน,อนาคต,"LINESTRING (100.4402600000001 13.78920600000002, 100.4442100000001 13.78620900000004, 100.445617 13.78558300000004, 100.4474520000001 13.78506400000002, 100.449056 13.78495200000003, 100.450679 13.78516400000006, 100.466283 13.78887300000002, 100.4723660000001 13.79027500000005, 100.4901740000001 13.79663100000004, 100.499945 13.80019400000003, 100.50066 13.80049900000005, 100.5011260000001 13.80072300000005, 100.502324 13.80155600000005, 100.5042440000001 13.80329800000004, 100.5115010000001 13.80981100000001, 100.51694 13.81473800000002, 100.521759 13.81917800000001, 100.523754 13.82084700000007, 100.5248960000001 13.82144100000005, 100.526641 13.82204700000005, 100.5279070000001 13.82232200000003, 100.5291480000001 13.82236100000003, 100.5373460000001 13.82158500000001, 100.5421400000001 13.821114, 100.542487 13.82101200000005, 100.5429350000001 13.82080400000005, 100.5432960000001 13.82059500000003, 100.543755 13.82030200000002, 100.5438470000001 13.82023100000003, 100.544172 13.81988900000004, 100.544329 13.81968800000003, 100.544586 13.81930200000003, 100.5448210000001 13.81890900000007, 100.5449550000001 13.81855600000006, 100.5450080000001 13.81828100000006, 100.5450220000001 13.81802200000004, 100.544992 13.81779200000005, 100.5449040000001 13.81744900000005, 100.544699 13.81678300000003, 100.5438710000001 13.81466000000005, 100.543294 13.81213700000005, 100.5434220000001 13.80981300000007, 100.5422900000001 13.80711200000006)"
13,สายสีเขียวเข้ม,อ่อนนุช-สมุทรปราการ,ปัจจุบัน,"LINESTRING (100.5956511263438 13.64612194736191, 100.5963190000001 13.64772500000003, 100.5969860000001 13.64951200000007, 100.5969890000001 13.64951100000008, 100.597332 13.65034300000007, 100.597684 13.65112800000002, 100.5980660000001 13.65213500000004, 100.59835 13.65275900000004, 100.598678 13.65353700000003, 100.5989160000001 13.65412500000001, 100.5994500000001 13.65541800000004, 100.5998670000001 13.65646700000007, 100.600038 13.65685700000004, 100.600282 13.65736100000003, 100.6006670000001 13.65836300000006, 100.600868 13.65890300000006, 100.6012310000001 13.65978700000004, 100.6016420000001 13.66078100000003, 100.6023000000001 13.66236900000006, 100.6027750000001 13.66353600000002, 100.6034250000001 13.66511000000001, 100.6043330000001 13.66735400000004, 100.6050020000001 13.66894100000006, 100.6052450000001 13.66950200000001, 100.6054260000001 13.66999600000002, 100.6054290000001 13.66999600000002, 100.6056900000001 13.67063600000005, 100.605951 13.67125300000001, 100.6061800000001 13.67181700000003, 100.606384 13.67231800000006, 100.606806 13.67336900000003, 100.6075980000001 13.67530000000005, 100.6086240000001 13.67780400000002, 100.6093340000001 13.67951500000002, 100.609722 13.68051200000002, 100.609992 13.68122200000004, 100.6101560000001 13.68177900000004, 100.6103580000001 13.68247100000002, 100.6103930000001 13.68269200000003, 100.6104470000001 13.68302600000004, 100.610488 13.68340300000005, 100.6104920000001 13.68440800000008, 100.6104450000001 13.68499600000007, 100.6104060000001 13.68541500000003, 100.6102880000001 13.68607300000001, 100.6102420000001 13.68632900000004, 100.6102000000001 13.68649300000003, 100.610071 13.68687000000005, 100.6098680000001 13.68741200000004, 100.609266 13.68873100000006, 100.6087750000001 13.68975700000003, 100.6080500000001 13.69127400000001, 100.6073100000001 13.69278500000006, 100.606758 13.69389700000005, 100.6062220000001 13.69498500000003, 100.6058550000001 13.69572900000002, 100.6058550000001 13.69573500000006, 100.605445 13.69655100000005, 100.6050760000001 13.69731300000005, 100.6047100000001 13.69808100000004, 100.6040280000001 13.69950600000003, 100.6036580000001 13.70030300000007, 100.603214 13.70120100000002, 100.602627 13.70242500000005, 100.601973 13.70377300000006, 100.601054 13.70567400000004)"
7,สายสีน้ำเงิน,บางซื่อ - รัชดาฯ - หัวลำโพง,ปัจจุบัน,"LINESTRING (100.5162025892202 13.73786800000005, 100.5290935892202 13.73274000000002, 100.5580325892202 13.72062400000004, 100.5587575892202 13.72033000000004, 100.5589805892202 13.72024600000002, 100.5591785892202 13.72030400000004, 100.5592775892202 13.72053100000005, 100.5599825892201 13.72269800000003, 100.5603335892202 13.72367900000005, 100.5604285892202 13.72463200000003, 100.5604255892202 13.72571500000004, 100.5599795892202 13.72891400000003, 100.5597195892201 13.73142600000004, 100.5596725892201 13.73230500000004, 100.5596885892201 13.73268900000004, 100.5597355892202 13.73301400000001, 100.5599635892201 13.73348300000002, 100.5602905892202 13.73397000000005, 100.5608785892202 13.73482900000002, 100.5611335892201 13.73556700000005, 100.5617045892202 13.73848100000002, 100.5619145892202 13.74087400000008, 100.5620545892202 13.74270800000005, 100.5623925892201 13.74468100000006, 100.5633965892202 13.74864100000007, 100.5657185892202 13.75939500000002, 100.5660155892202 13.76033600000003, 100.5663915892202 13.76108900000002, 100.5669305892202 13.76190600000006, 100.5725365892202 13.76910700000006, 100.5728415892202 13.76958400000006, 100.5730865892202 13.77034400000001, 100.5732435892202 13.77111500000006, 100.5736225892202 13.77846600000003, 100.5749655892202 13.80501700000006, 100.5749655892202 13.80515900000005, 100.5749245892202 13.80531000000006, 100.5748145892202 13.80540100000008, 100.5747015892202 13.80546700000001, 100.5746035892202 13.80552100000005, 100.5610995892202 13.81308700000003, 100.5608275892202 13.81325500000001, 100.5605575892202 13.81339400000005, 100.5603475892201 13.81348000000002, 100.5601445892202 13.81348700000006, 100.5600175892202 13.81339900000005, 100.5598585892202 13.81320700000002, 100.5597505892202 13.81300400000003, 100.5588675892202 13.81137000000006, 100.5511885892202 13.79819800000005, 100.5511165892201 13.79805000000004, 100.5510065892202 13.79792200000002, 100.5507735892202 13.79779900000005, 100.5505675892202 13.79775700000004, 100.5438345892202 13.79753700000004)"
8,สายสีเทา,พระราม4 - ท่าพระ,อนาคต,"LINESTRING (100.5593780000002 13.72007300000018, 100.5589762886107 13.72019361541561, 100.5554356506341 13.72164508662905, 100.5541912305764 13.72212891151463, 100.5484904221476 13.72449986331679, 100.5447800821249 13.72596499431376, 100.5447284328264 13.72598161483235, 100.5446750696235 13.72599142606293, 100.5446208862354 13.72599426368842, 100.5445667901175 13.72599008018468, 100.5445136872639 13.72597894561642, 100.5444624670334 13.72596104646379, 100.5444139872552 13.7259366824992, 100.5412388344888 13.72497728382172, 100.5372272576263 13.72380047364669, 100.5309564572545 13.72197233313625, 100.5306131134212 13.72188246165905, 100.5305751802626 13.7218692068295, 100.5305398492202 13.72185006701579, 100.5305080262983 13.72182553302577, 100.5304805275414 13.72179623399176, 100.5304580581083 13.72176292123749, 100.5304411941891 13.7217264490117, 100.5304303682303 13.7216877525824, 100.5304258578451 13.72164782425348, 100.5304277786948 13.7216076879188, 100.5304360815223 13.72156837280619, 100.5311556305305 13.72010072125784, 100.5329704000001 13.71653930000002, 100.5373478000001 13.70836760000014, 100.5390306946753 13.70495212071035, 100.5397921221972 13.70346733704275, 100.5406011389391 13.70221098163159, 100.5411243000001 13.70152990000014, 100.542036429818 13.70022555936839, 100.5422410470887 13.69993889735796, 100.5424511668049 13.6996562437881, 100.5426667104626 13.69937770426255, 100.5428875975315 13.69910338284797, 100.5431137454847 13.69883338203507, 100.5433450698298 13.69856780270031, 100.5435814841405 13.69830674406822, 100.5438229000888 13.69805030367434, 100.5440692274779 13.69779857732875, 100.5443203742761 13.69755165908029, 100.5445762466512 13.69730964118143, 100.5448367490052 13.69707261405379, 100.5451017840105 13.69684066625435, 100.5453712526459 13.69661388444239, 100.5456450542337 13.69639235334708, 100.5459230864775 13.69617615573587, 100.5462052455002 13.69596537238351, 100.5466392591875 13.69564557282439, 100.5467478637346 13.69556078493933, 100.5468521404462 13.69547072773247, 100.5469518339253 13.69537562177413, 100.5470467000002 13.69527570000014, 100.5470749371149 13.6952404997203, 100.5470988621692 13.69520223764875, 100.5471181465697 13.69516143928792, 100.5471325254585 13.69511866497435, 100.547141801352 13.69507450218293, 100.5473588081957 13.69356687568961, 100.5478191000001 13.68618600000013, 100.5479013253051 13.68467530580301, 100.547915559618 13.68435173604088, 100.5479230532935 13.68402794003803, 100.5479238030822 13.68370405820086, 100.5479178086588 13.68338023097298, 100.5479050726227 13.68305659877431, 100.5478856004967 13.68273330194021, 100.5478594007243 13.68241048066061, 100.5478264846665 13.68208827491925, 100.5477868665965 13.68176682443293, 100.5477405636937 13.68144626859095, 100.5476875960362 13.6811267463947, 100.5476279865924 13.68080839639732, 100.5475617612102 13.68049135664368, 100.5474889486069 13.68017576461047, 100.5474095803558 13.67986175714663, 100.547323690873 13.67954947041398, 100.5472313174026 13.67923903982819, 100.5471325 13.67893060000006, 100.5465307557657 13.67788337230792, 100.5458302424456 13.67675645957559, 100.5457053882224 13.6765620357856, 100.5455748769566 13.6763713633002, 100.5454388212785 13.67618460666814, 100.5452973386029 13.6760019270588, 100.5451505510281 13.67582348212314, 100.5449985852306 13.67564942585762, 100.5448415723556 13.67547990847132, 100.5446796479039 13.67531507625633, 100.5445129516148 13.67515507146143, 100.5443416273459 13.67500003216941, 100.5441658229487 13.67485009217787, 100.5439856901406 13.67470538088374, 100.543801384375 13.67456602317166, 100.543613064706 13.67443213930614, 100.543420893652 13.67430384482782, 100.5432250370549 13.67418125045375, 100.5430256639373 13.67406446198185, 100.5428229463566 13.67395358019956, 100.5426170592563 13.67384870079693, 100.5424081803152 13.673749914284, 100.5421964897941 13.67365730591268, 100.5419821703801 13.67357095560322, 100.541765407029 13.6734909378752, 100.5415463868057 13.67341732178325, 100.541325298723 13.67335017085742, 100.5411023335779 13.6732895430484, 100.5408776837874 13.67323549067748, 100.5406515432224 13.67318806039138, 100.5404241070403 13.67314729312204, 100.5402235973076 13.67311766523148, 100.5400222435336 13.67309445698912, 100.5398202512006 13.67307769207904, 100.5396178264424 13.6730673876099, 100.5394151758342 13.67306355409744, 100.5392125061817 13.67306619545377, 100.53901002431 13.67307530898339, 100.5388079368524 13.6730908853859, 100.5386064500401 13.67311290876553, 100.5384057694909 13.67314135664734, 100.5382061 13.67317620000017, 100.5371956543476 13.67346709268116, 100.5355814280014 13.67413714890034, 100.534073801508 13.67483766222063, 100.5334342023897 13.67523360453191, 100.5324291180606 13.67596457495279, 100.5307692060631 13.67745697289581, 100.5286789000001 13.67951440000007, 100.527007754105 13.68112705355117, 100.5261244981797 13.68187325252262, 100.5242970721273 13.68318290786021, 100.5206108000001 13.68551880000018, 100.5179315380444 13.68711187387299, 100.5176742492456 13.68726075025265, 100.517413498031 13.68740347553592, 100.5171494314299 13.68753996924462, 100.5168821983407 13.68767015441436, 100.5166119494476 13.68779395763792, 100.5163388371352 13.68791130910667, 100.5160630154028 13.68802214264991, 100.5157846397773 13.68812639577217, 100.5155038672257 13.6882240096885, 100.5152208560666 13.68831492935755, 100.5146970832082 13.68847279622596, 100.5141713849629 13.6886241280146, 100.513643842865 13.6887689012523, 100.5131145387349 13.68890709348516, 100.5125835546661 13.68903868327994, 100.5120509730128 13.68916365022742, 100.511516876377 13.6892819749456, 100.5109813475954 13.68939363908263, 100.5104444697272 13.68949862531972, 100.5099063260405 13.6895969173738, 100.5093670000001 13.68968850000005, 100.5069365246287 13.68982255585092, 100.5066432423225 13.68984155123902, 100.5063503776556 13.68986616064284, 100.5060580380816 13.68989637503306, 100.5057663308616 13.68993218332385, 100.5054753630246 13.68997357237695, 100.5051852413283 13.69002052700648, 100.5050038340352 13.69005500112892, 100.5048237660002 13.69009589824246, 100.5046452645639 13.69014316671343, 100.504468555089 13.69019674686418, 100.5042938606755 13.6902565710484, 100.5041214018798 13.69032256373652, 100.5039513964355 13.69039464161108, 100.5037840589788 13.69047271367191, 100.5036196007775 13.69055668135103, 100.5034582294644 13.69064643863709, 100.5033001487748 13.69074187220922, 100.5031455582897 13.69084286158009, 100.5029946531836 13.69094927924802, 100.502847623978 13.69106099085797, 100.502704656301 13.69117785537118, 100.5025659306531 13.6912997252432, 100.5007385046006 13.69335557955225, 100.4982867079802 13.69608149008064, 100.4972649000001 13.69727710000018, 100.4953019120945 13.69917288581934, 100.4950775301678 13.69938503841956, 100.4948487040164 13.69959238973316, 100.494615536356 13.69979484668408, 100.4943781318511 13.69999231839324, 100.4941365970683 13.70018471621935, 100.4938910404277 13.70037195379865, 100.4936415721552 13.70055394708378, 100.4933883042322 13.70073061438139, 100.4931313503461 13.70090187638889, 100.4928708258384 13.70106765623001, 100.4926068476537 13.70122787948935, 100.4923395342868 13.70138247424571, 100.4920690057295 13.70153137110445, 100.4917953834171 13.70167450322859, 100.4915187901733 13.70181180636885, 100.4912393501556 13.70194321889244, 100.4909571887994 13.7020686818108, 100.4906724327615 13.70218813880598, 100.4889668351126 13.70285819502521, 100.486343 13.70426099999997, 100.4825860724793 13.70648259002928, 100.4824130700242 13.70658862975809, 100.4822435169302 13.70670010182573, 100.4820775837144 13.70681689412627, 100.4819154372536 13.70693888920332, 100.4817572406163 13.70706596436812, 100.4816031528986 13.70719799182293, 100.4814533290645 13.70733483878957, 100.4813079197896 13.70747636764294, 100.4811670713101 13.70762243604944, 100.4810309252752 13.70777289711008, 100.4808996186054 13.70792759950826, 100.4807732833537 13.70808638766193, 100.4806520465738 13.70824910188003, 100.4804918740837 13.70847706899664, 100.4803372265262 13.70870881965106, 100.4801881932344 13.70894421997133, 100.4800448602981 13.70918313397724, 100.4799073105143 13.70942542365887, 100.4797756233393 13.70967094905633, 100.479649874843 13.70991956834062, 100.4795301376646 13.71017113789551, 100.4794164809708 13.71042551240056, 100.4793089704162 13.71068254491501, 100.4792076681046 13.7109420869627, 100.4791126325539 13.71120398861783, 100.4790239186619 13.71146809859155, 100.4789415776746 13.71173426431936, 100.4788656571568 13.71200233204928, 100.4787962009642 13.71227214693056, 100.4787332492187 13.71254355310327, 100.4784980968128 13.71362451469969, 100.4782666128519 13.71470626781514, 100.4780388 13.7157888000001, 100.4765669879189 13.72353475938155, 100.4765117287422 13.72380905794832, 100.4764504359838 13.72408207164417, 100.4763831394356 13.72435366776884, 100.4763098718074 13.72462371431114, 100.4762306687116 13.72489208001303, 100.4761455686453 13.72515863443348, 100.476054612972 13.72542324801182, 100.4759578459014 13.72568579213078, 100.4751393113155 13.72732286130275, 100.4741679643121 13.72940148215599, 100.4741260000001 13.72948600000007)"
35,สายสีฟ้า,ปราะชาสงเคราะห์ -ช่องนนทรี,อนาคต,"LINESTRING (100.529922 13.72178400000005, 100.5329830000001 13.72266100000007, 100.535999 13.72355500000002, 100.5386280000001 13.72434500000002, 100.5427700000001 13.72555500000003, 100.5441670000001 13.72597300000006, 100.544263 13.72600600000003, 100.544341 13.72606200000005, 100.5444400000001 13.72617800000005, 100.5444810000001 13.72631000000004, 100.544519 13.72648100000003, 100.5445600000001 13.72671000000002, 100.54516 13.72982400000005, 100.545854 13.73431400000003, 100.546028 13.73524800000007, 100.546322 13.73691500000006, 100.546517 13.73803300000002, 100.546706 13.73906800000002, 100.5470230000001 13.74073000000003, 100.5472260000001 13.74175100000001, 100.547443 13.74299800000005, 100.547525 13.74349200000006, 100.5477870000001 13.74517000000002, 100.547965 13.74625400000001, 100.548123 13.74714900000002, 100.5482200000001 13.74771800000006, 100.5485070000001 13.74948800000004, 100.548911 13.75147400000002, 100.5492110000001 13.75290600000005, 100.549269 13.75311400000002, 100.549359 13.75324900000004, 100.549482 13.75338800000002, 100.5496560000001 13.75347500000003, 100.5497950000001 13.75351300000005, 100.5499530000001 13.75352200000001, 100.5513690000001 13.75322400000004, 100.5543230000001 13.75255200000002, 100.5574030000001 13.75184700000005, 100.557577 13.75184100000007, 100.557704 13.75188400000007, 100.557845 13.75200100000005, 100.5579670000001 13.75220600000005, 100.5581020000001 13.75243500000004, 100.5582360000001 13.75259600000003, 100.5583700000001 13.75266400000002, 100.5585110000001 13.75269500000007, 100.5587800000001 13.75267600000006, 100.561777 13.75198400000003, 100.561898 13.75197300000007, 100.561987 13.75201500000001, 100.562058 13.75210100000003, 100.562212 13.75285600000006, 100.5621960000001 13.75297300000005, 100.5621520000001 13.75308000000005, 100.5620610000001 13.75314800000006, 100.553584 13.75512700000008, 100.5533570000001 13.75529300000003, 100.5531980000001 13.75555900000004, 100.553228 13.75593500000002, 100.553341 13.75627900000007, 100.553848 13.75755000000004, 100.5543230000001 13.75869200000005, 100.5546930000001 13.75958200000001, 100.5547500000001 13.75978500000001, 100.554956 13.76060200000005, 100.5549790000001 13.76069000000006, 100.5553550000001 13.76164600000003, 100.5560210000001 13.76332700000005, 100.5568710000001 13.76543000000003, 100.557354 13.76669600000001, 100.5577010000001 13.76743200000003, 100.557936 13.76789600000005, 100.557976 13.76798500000006, 100.5579940000001 13.76808500000003, 100.5580750000001 13.76858500000003, 100.5581510000001 13.76899000000003, 100.5582230000001 13.76939900000001, 100.558259 13.76959000000004, 100.5583090000001 13.76972800000003, 100.5583640000001 13.76983600000005, 100.55843 13.76995500000002, 100.5584650000001 13.77004800000003, 100.5584750000001 13.77011500000003, 100.558456 13.77018700000001, 100.558424 13.77023000000002, 100.5583530000001 13.77028500000005, 100.557788 13.77052000000002, 100.5572270000001 13.77076800000001, 100.557146 13.77088200000003, 100.557039 13.77103300000003, 100.556989 13.77106000000003, 100.5562440000001 13.77145200000006, 100.5538760740998 13.77276563990114)"
39,สายสีแดงเข้ม,หัวลำโพง - ตากสิน,อนาคต,"LINESTRING (100.471916 13.71097700000006, 100.4724120000001 13.712009, 100.473254 13.71382000000004, 100.47445 13.71638500000005, 100.474861 13.71724000000004, 100.475511 13.71861900000004, 100.4756510000001 13.71889500000002, 100.4759290000001 13.71936200000004, 100.476361 13.71984800000006, 100.4768120000001 13.72024100000004, 100.4770580000001 13.72038800000006, 100.4772710000001 13.72049200000003, 100.4774360000001 13.72055400000004, 100.4775510000001 13.72059800000003, 100.4780110000001 13.72074400000002, 100.4789370000001 13.72100100000003, 100.480621 13.72150100000004, 100.482218 13.72192700000003, 100.483133 13.72221300000006, 100.4852870000001 13.72283800000002, 100.487243 13.72337700000002, 100.4926480000001 13.72465400000003, 100.49296 13.72472900000001, 100.4941640000001 13.72500300000006, 100.4947920000001 13.72515000000004, 100.4957110000001 13.72536600000005, 100.4958960000001 13.72541100000005, 100.4960620000001 13.72551100000004, 100.5065221995397 13.72808437153261, 100.5118521921928 13.72932169125564, 100.5138509394376 13.7300831187775, 100.5144695992992 13.7308921355195, 100.51498 13.73175800000006, 100.5151260000001 13.731845, 100.5152000000001 13.73191100000001, 100.5152820000001 13.73200100000001, 100.5154000000001 13.73218200000002, 100.5156450000001 13.73265800000006, 100.5157180000001 13.73283900000006, 100.515781 13.73303400000002, 100.5159140000001 13.73352500000004, 100.515985 13.73397300000004, 100.516056 13.73443300000001, 100.516098 13.73484600000005, 100.5160860000001 13.73527500000004, 100.5160910000001 13.73563500000005, 100.5160830000001 13.73578600000008, 100.5160360000001 13.73618100000004, 100.5159690000001 13.73672200000003, 100.5159180000001 13.73721600000003, 100.5159160000001 13.73729800000005, 100.515927 13.73740400000002, 100.5159580000001 13.73755300000004, 100.5159970000001 13.73765400000006, 100.5160310000001 13.73772100000002, 100.5161610000001 13.73791100000005, 100.5161840000001 13.73794900000005, 100.5162000000001 13.73800800000003, 100.5162000000001 13.73801900000005, 100.516214 13.73809200000004, 100.5168590000001 13.74241100000005)"
10,สายสีแดงอ่อน,บางซื่อ - มักกะสัน,อนาคต,"LINESTRING (100.560821 13.75077400000004, 100.55832 13.75136100000009, 100.5542610000001 13.75228800000002, 100.5501090000001 13.75316800000002, 100.5459710000002 13.75408900000002, 100.5423060000002 13.75494700000013, 100.538099 13.75590499999998, 100.534006 13.75681900000012, 100.5313790000001 13.75742200000013, 100.5283910000001 13.75808300000011, 100.5263543731834 13.75854012871116, 100.52548477621 13.75877878128654, 100.525339541009 13.75882235101188, 100.5251965238503 13.75887272637208, 100.5250560434455 13.75892979510645, 100.5249184128529 13.75899343003823, 100.5247839387799 13.759063489358, 100.5246529209 13.75913981693968, 100.5245256511844 13.75922224268847, 100.5244024132516 13.75931058291993, 100.5242834817354 13.75940464076926, 100.5241691216727 13.75950420663005, 100.5240595879131 13.75960905862138, 100.5239551245508 13.75971896308226, 100.5238559643808 13.75983367509236, 100.5237623283799 13.75995293901782, 100.5236744252145 13.76007648908087, 100.5235924507752 13.7602040499522, 100.523516587741 13.76033533736443, 100.5234470051712 13.76047005874567, 100.5233838581296 13.7606079138715, 100.5233272873384 13.76074859553396, 100.5232774188646 13.76089179022624, 100.5232343638392 13.76103717884124, 100.5231982182099 13.76118443738278, 100.5231690625264 13.76133323768755, 100.5231469617619 13.76148324815646, 100.5231319651674 13.76163413449359, 100.5231243813301 13.76177455681448, 100.5231228419638 13.76191517535217, 100.5231273499156 13.76205573004317, 100.5231378968482 13.76219596094206, 100.523154463256 13.76233560870225, 100.5231770185006 13.76247441505561, 100.5232055208677 13.76261212329015, 100.5232399176443 13.76274847872476, 100.5232801452163 13.76288322918023, 100.5233261291856 13.76301612544563, 100.5235147245928 13.76349122211025, 100.5238040000002 13.76421200000004, 100.5242200000001 13.76521900000006, 100.5248760000001 13.76682700000003, 100.5263730000001 13.77049300000016, 100.528648 13.77612700000003, 100.529219 13.77755000000019, 100.5328010000001 13.78636100000017, 100.5330840000001 13.78701599999999, 100.5337270000002 13.78860200000014, 100.5344360000002 13.79036400000012, 100.5353680000001 13.79265900000007, 100.5355920000001 13.79320200000006, 100.536486 13.79540200000002, 100.537452 13.79776900000013, 100.5380440000001 13.79917200000006, 100.5400020000001 13.80375499999997, 100.5430860000001 13.80694700000015, 100.5441530000001 13.80959600000011)"
25,สายสีเขียวเข้ม,สะพานใหม่-แยกเกษตร,อนาคต,"LINESTRING (100.6091650000001 13.89674200000007, 100.604258 13.88840100000003, 100.6008400000001 13.88258700000004, 100.5965996667578 13.87525270267687)"
